"","Family","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"1","",0,4.5,3.00050929581789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2.5,NA,6,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2","Aspleniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0.0293945425759846
"3","Asteraceae",0.00263066021639496,1.53536776513153,11.6656409205967,0.0803243070501283,0.0459608787928797,0.000509295817894065,0.500795774715459,3.51273239544735,1.50101859163579,0,6.64147106052613,0,1.01984524599047,0.137403767536003,0.0464163673660692,0,0.00110141829129339,0.00318309886183791,0.0414687046167216,0.000795774715459477,0.0419108016808658,15.0017259469384,15.6545143054717,4.02743779103782,0.141471060526129,0.00595602989194207,3.52088908628081,0.0108068171235238,0.0022964554423355,0.0417339628552081,3.01989436788649,12.5007957747155,4.00286742802446,0.0103057737841604,4.17734812147556,7.00539358418256,0,0.00186418275739455,6,4.53262676333384,106.436504280717
"4","Athyriaceae",0,0.000795774715459477,0,0,0,0,0,0,0,0,0.0198943678864869,0,0,0.0127323954473516,0,0,0,0,0,0,0.00141471060526129,0.00141471060526129,0,0.0353677651315323,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0.0795774715459477,0,0,0,0.0127323954473516,0.164811336221726
"5","Betulaceae",0,0.00141471060526129,0,0.000657665054098741,0.00103937922019197,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0.0127323954473516,0,0.0225250281028819,0.0353677651315323,0.00884194128288308,0,0,0,0,0,0.0795774715459477,0,0.0127323954473516,0.176193822370854
"6","Boraginaceae",0,4.5,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,5.03757825045225
"7","Brassicaceae",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0141471060526129,0.00649612012619981,0,NA,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,NA
"8","Caprifoliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000259844805047992,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0.00392975168128137,0,0,0,0,5.5,0.5,7.0050713413234
"9","Caryophyllaceae",0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0.00649612012619981,0,0,0,0,0,0,2.5,0.000310849498226358,0.00392975168128137,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0.0509295817894065,0,0,0,0,2.56438608423373
"10","Celastraceae",0,0,0,0,0,0,0,0,0,0,2,0,0.0795774715459477,0,0,0,0,0,0,0,0,5,0.00263066021639496,0,0,0,0,0,0,0,0,3.5,2.5,0,2,0,0,0,0,0.0795774715459477,15.1617856033083
"11","Crassulaceae",0,0.0127323954473516,0.00649612012619981,0,0,3,0,0.000157190067251255,0,0,0.00318309886183791,0,0,3,0,0,0,1.5,0,0,2,0.000509295817894065,6,0.5,0,0,0,0,0,3,1.5,0.000795774715459477,0.000310849498226358,0,0,0,0,0,0,0.0353677651315323,20.5595524896658
"12","crust",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"13","Cupressaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Cyperaceae",0,0.0353677651315323,0.0795774715459477,1.54186388525773,2.50110141829129,0,2.5,20,NA,4,0.5,0.0795774715459477,13,0,2,1.5,16,4,0.0254647908947032,2.50141471060526,0.00318309886183791,7.5,0.5,0,0,3.50050929581789,1,0.0215183979180368,0.0845510635175694,4,3.5,8.5,4.5,0.00318309886183791,1.5,0,0,0,12,0.5,NA
"15","Dryopteridaceae",0,0,0,0,0,0,0,0,0,0,0.00884194128288308,0,0,0.000795774715459477,0,0,0,0,0.00124339799290543,0,0.0797867482627023,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.603400257701302
"16","Equisetaceae",0,0,0,0,0.00110141829129339,0,0,0,0,0,0,8,0,0,3.5,0,8,0,0,0,0,0,0,0,0,2,0.00263066021639496,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,21.516464473955
"17","Ericaceae",0,0.0358044042072302,0.0545491308237306,16,5.02179156089324,0.0811690209768667,2.51850176213443,1.01273239544735,0.00102898542799005,14.5,0,12.0007957747155,18.0014147106053,0,0.000795774715459477,12.5,1.00318309886184,8.07957747154595,10.0404076716628,13.5442097064144,0.00389045416446856,0.0130860730986669,0,4.0006576650541,5.5091956189342,10.0367824757368,16,1.03536776513153,13.1267344917213,0.0864078711869748,2.063302886152,0.0213090784917482,0.0226198162093302,0,6,0,9.50141471060526,8.5,2,3.59491553295503,195.911645907873
"18","Fabaceae",0,0,7.5,6,7.5,0.0127323954473516,3.5,9.5,1,0.0127323954473516,0,0.000353677651315323,0,0,0.000601720011689585,7,0.00497359197162173,3.5,4,1,0.00318309886183791,2,6,0,0,0.000795774715459477,6.5,7,0.141471060526129,0.0353677651315323,8,0,0,0.00497359197162173,6.5,0,7.5,0.0127323954473516,2.5,4.5,101.229917467183
"19","FERN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923098669932993
"20","FUNGI",0,0,0,8,4,0,0,0,0,0,0.5,0,5.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.5
"21","Grossulariaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,2,0,0,0,0,0,0,2.04810016057888
"22","Juncaceae",0.318309886183791,0,0.00649612012619981,0.00649612012619981,0,0,0,0.000795774715459477,0.5,0,10,0.00141471060526129,0.519894367886487,5,2.5,6,1.03536776513153,0,0,0,0,2,0.000310849498226358,0,0.00318309886183791,0,0,0.0481001605788839,0.0198943678864869,2.00221048532072,3.5,7.5,5.50318309886184,0,0.0353677651315323,0.321492985045629,0,0.00491218960160171,0.0795774715459477,2,48.9070072171076
"23","Lentibulariaceae",0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,8.00870660544692
"24","Lichen",0,0,0,0,0,0,4.5,0.0127323954473516,2.5,8,0.5,0,2,0,0,0,0,8,6.5,5.5,8,4,0,0,0,0,0,6.5,8,7.5,2.5,0,2.5,1,0,0,0,0,4,0,81.5127323954474
"25","Liliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0,0,0.00221048532072077
"26","liverwort",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,13.5
"27","Lycopodiaceae",0,0,0,0,0.00110141829129339,0,0,0,0,0,0,0,1.5,0,0,0,0,0.00884194128288308,0,0,0.000353677651315323,0,0,0,0.000881744837074213,0,0,0,0.000881744837074213,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,1.53195489478613
"28","MOSS",4.5,0,0,0,0,8,6,5.5,7.5,8,8,8,6.5,5.5,6.5,8,7.5,0,0,0,8,8,0,0,0,8,3,7,8,7.5,8,8,7.5,2.5,7.5,0.0127323954473516,0,0,0,0,172.512732395447
"29","Onagraceae",3,1.5,3.81830988618379,0,0.00141471060526129,4,0,0.000353677651315323,7.50050929581789,0,6.5,0,0.0127323954473516,10,6.5,0,0.00649612012619981,0.0795774715459477,0.00141471060526129,0,0.00649612012619981,13,1,9.5,0,0.00141471060526129,0,0,0,0,0,0.0137148333676719,8.5,3,0.040341357103154,5,0,0,0,0,82.9827752891853
"30","Ophioglossaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Orchidaceae",0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0.0198943678864869,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00318309886183791,0,0,0,0,8,0,0,2,0,0,0,0,0,13.0584452318799
"32","Orobanchaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0442097064144154,0,0,0,0,0,0,0,0,0,0,1.04420970641442
"33","Phrymaceae",0.00318309886183791,0,0,0,0,0,0,0,0,0,8.14147106052613,0,0,0,0.000509295817894065,0,0,0,0,0,0,0.00141471060526129,0,1,0,0,0,0,0,0,0,0,0.141471060526129,0,0.00141471060526129,0.00221048532072077,0,0,0,0,9.29167442226323
"34","Pinaceae",0,0.0795774715459477,0.0127323954473516,1.0064961201262,6.59947183943243,0.0206901426019464,0.512732395447352,1,0.00318309886183791,0,0,0,3,0.5,0,0.397887357729739,0,0.503183098861838,9.33820425407028,2.5,0.00732212725987391,0.500509295817894,0.0079108307314611,0.503183098861838,0,0.000881744837074213,0.0263904880126867,5.00884194128288,1.32328347815541,5.5,4.51273239544735,0.535367765131532,0.501243397992905,2.5,0,0.0860735916721475,0.522104853207208,0.000982437920320342,0.0353677651315323,0.5,47.546353385587
"35","Plantaginaceae",0,0.0353677651315323,2.50884194128288,0,0.00884194128288308,0.00318309886183791,1.5,0.00334028892908917,0,0,9,0,0,0,0,0.000795774715459477,0,0,0.0127323954473516,0.00221048532072077,0.000795774715459477,4,4.50392975168128,3.01989436788649,0.000127323954473516,0,0,0.0127323954473516,0.00141471060526129,1.5,6,3.5,6,0,1,0,0,0,1.5,3.5,47.6142080152621
"36","Poaceae",0,0,0,0,0,0,0.0127323954473516,1,10,0,1.5,0,0,2.03536776513153,2.00318309886184,0.00497359197162173,0,0.0127323954473516,0.00141471060526129,0.0707355302630646,0.00778090832893711,4.00079577471546,0,0,0,0,0,0.555262133018019,0.0822081317623427,0,0.0841752810130469,1.5,5,0.00884194128288308,3.5,0,0,0,1,0,32.3802036578487
"37","Polemoniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"38","Polygonaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0,0,0,0.00497359197162173,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0,0,0.0849047411688848
"39","Pteridaceae",0,0,0.0795774715459477,0.00221048532072077,0,0,0,0.000795774715459477,0,0,0.5,0,0,0.00318309886183791,0,0,0,0,0,0,5.00035367765132,0.0127323954473516,0.00318309886183791,3,0,0,0,0.000982437920320342,0,0.318309886183791,0,0.000795774715459477,3,0,0,0,0,0,0,0.5,12.422124101224
"40","Ranunculaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496,0,0.00110141829129339,0,0,0,0,0,0,0.000982437920320342,0,0.000259844805047992,0,0,0,0,3,0,3.00497436123306
"41","Rosaceae",0,0.0358044042072302,0.00318309886183791,0.00240688004675834,0,0,0,4,0,0,0.00497359197162173,0,0,0,0,0.00141471060526129,0,8,7.00188349045079,2,0,0,4.0064961201262,0.0509295817894065,6,0,0,0,0,0,0,0.000795774715459477,2,0.00957140143872093,0,0,0,0.000509295817894065,8.5,6,47.6179683500312
"42","Salicaceae",0,0.0192285155735514,0.0198452459904709,6,15,0.0254647908947032,11.500259844805,11,0.0254647908947032,8,4.5,8,7.00072179112513,0.0127323954473516,6.5,1.00079577471546,6.00098243792032,0.5,0,0.000795774715459477,0.00353677651315323,1.5,0.0795774715459477,0.00636619772367582,0,0,8,2.50221048532072,4,0.581201501577498,5.5,3,0.5,0,8,0.0509295817894065,2.5,2.50318309886184,0.00318309886183791,1.5,125.336479574276
"43","Saxifragaceae",0,4.5,0.000509295817894065,0.000657665054098741,0.00251612889655468,0,0,0,0,0,5.5,0,5.5,0.0198943678864869,0,0,0,0.00110141829129339,0,0.00649612012619981,5.07993114919726,3.50035367765132,0.000795774715459477,0.501924006423155,0.00318309886183791,0,0.00318309886183791,0.318309886183791,0.00263066021639496,5.00221048532072,0,8,4.00318309886184,0,3,0,0,0.00110141829129339,0,1.57957747154595,46.5275588222034
"44","Scrophulariaceae",0,0.00221048532072077,0.00141471060526129,0.0127323954473516,0.0127323954473516,0.00884194128288308,0.00141471060526129,0,0.000795774715459477,0,7,0,0.519894367886487,0.00392975168128137,0.0198943678864869,0,0.00649612012619981,0,0,0,0.000795774715459477,0.500509295817894,2.5,0.0795774715459477,0,0.0198943678864869,0.0127323954473516,0.00649612012619981,0,0.0707355302630646,1.5,5.5,1,0,4.5,0.00497359197162173,0.141471060526129,0.0198943678864869,0,3,26.4474369971914
"45","Tofieldiaceae",0,0,0.000509295817894065,0,0,0,0,0,0.000519689610095984,12,0,8,2.5,0,0,0,7.5,0,0,0,0,1.5,0,0,0,0.00188349045079166,0.0198943678864869,0,0,0,0.0353677651315323,3,0,0,0.00884194128288308,0,0,0,0,0,34.5670165501797
