"","Genus","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"1","Abies",0,0.0795774715459477,0.0127323954473516,1,6.51989436788649,0.0198943678864869,0.5,0.5,0.00318309886183791,0,0,0,1.5,0.5,0,0.318309886183791,0,0.00318309886183791,4.31830988618379,0.5,0.00392975168128137,0.5,0.00649612012619981,0.00318309886183791,0,0,0.0198943678864869,5,0.323283478155413,2.5,4.5,0.5,0.5,2.5,0,0.0860735916721475,0.519894367886487,0,0.0353677651315323,0.5,33.2732071142589
"2","Achillea",0,0,0.00649612012619981,0,0,0,0,0,0,0,2.5,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0.5,0,0.0353677651315323,0,0,0,0,0.5,8.04265965997319
"3","Adiantum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323
"4","Agoseris",0,0,0,0,0,0,0,0,1,0,0,0,0.00318309886183791,0.000795774715459477,0,0,0,0,0,0,0.00141471060526129,1.5,1,0.0259844805047992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53137806468736
"5","Agrostis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308,3.5,0,0,0,0,0,3.50884194128288
"6","Alnus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0.00884194128288308,0,0,0,0,0,0,0,0,0.02873630916937
"7","Anaphalis",0,0.0353677651315323,5,0.0198943678864869,0.0127323954473516,0.000509295817894065,0,0,0.5,0,3,0,0,0.0127323954473516,0.00497359197162173,0,0,0.00318309886183791,0,0,0.0353677651315323,2,0.141471060526129,1,0,0,0,0.000982437920320342,0,0.00318309886183791,0.0198943678864869,0.000795774715459477,0.5,0,0.141471060526129,0.00221048532072077,0,0.000982437920320342,0,0.0198943678864869,12.4556457672595
"8","Anemone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0.000259844805047992,0,0,0,0,3,0,3.00124228272537
"9","Antennaria",0,0,0,0.0379984253479273,0.0326267633338385,0,0.500795774715459,0.0127323954473516,0,0,0,0,0.5,0,0,0,0.00110141829129339,0,0,0,0.000353677651315323,0.000353677651315323,2,0.000470872612697915,0.141471060526129,0.00497359197162173,2.51273239544735,0.00982437920320342,0,0.0385508639933702,3,0,0.00162403003154995,0,0,0,0,0,0,1,9.79560932622442
"10","Anthoxanthum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11","Arabis",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,6.51383381373865
"12","Arctostaphylos",0,0.00043663907569793,0.00497359197162173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0,2.5,0,0,0.0353677651315323,0,0.0198943678864869,0.00649612012619981,0.00141471060526129,0,0,0,0,0,0,0,0.00884194128288308,2.5796356214004
"13","Arnica",0,0,0,0.00472552639674085,0,0,0,3.5,0.000509295817894065,0,0.5,0,0.016662147128633,0,0.00497359197162173,0,0,0,0.0127323954473516,0.000795774715459477,0.00221048532072077,3,8,0.5,0,0,0.00497359197162173,0,0.00141471060526129,0,0,1.5,3,0.00318309886183791,0.5,0,0,0,0,2,22.5521806182371
"14","Artemsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323
"15","Asplenium",0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0.0293945425759846
"16","Athyrium",0,0.000795774715459477,0,0,0,0,0,0,0,0,0.0198943678864869,0,0,0.0127323954473516,0,0,0,0,0,0,0.00141471060526129,0.00141471060526129,0,0.0353677651315323,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0.0795774715459477,0,0,0,0.0127323954473516,0.164811336221726
"17","Boechera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"18","Botrychium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Carex",0,0.0353677651315323,0.0795774715459477,1.54186388525773,2.50110141829129,0,2.5,20,NA,4,0.5,0.0795774715459477,13,0,2,1.5,16,4,0.0254647908947032,2.50141471060526,0.00318309886183791,7.5,0.5,0,0,3.50050929581789,1,0.0215183979180368,0.0845510635175694,4,3.5,8.5,4.5,0.00318309886183791,1.5,0,0,0,12,0.5,NA
"20","Cassiope",0,0,0.00110141829129339,8,0.0198943678864869,0.000795774715459477,0.00497359197162173,1,0.000259844805047992,2.5,0,0.000795774715459477,7,0,0,0.5,0.00318309886183791,5,5.5,7.5,0,0.000353677651315323,0,0.5,0.000353677651315323,1,8,0,4.5,0.0353677651315323,0.00221048532072077,0.0198943678864869,0.00162403003154995,0,0,0,0.5,0,0,0,51.5908078749201
"21","Castilleja",0,0.00221048532072077,0.00141471060526129,0.0127323954473516,0.0127323954473516,0.00884194128288308,0.00141471060526129,0,0.000795774715459477,0,7,0,0.519894367886487,0.00392975168128137,0.0198943678864869,0,0.00649612012619981,0,0,0,0.000795774715459477,0.500509295817894,2.5,0.0795774715459477,0,0.0198943678864869,0.0127323954473516,0.00649612012619981,0,0.0707355302630646,1.5,5.5,1,0,4.5,0.00497359197162173,0.141471060526129,0.0198943678864869,0,3,26.4474369971914
"22","Chamaecyparis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Chamaenerion",3,1.5,3.81830988618379,0,0.00141471060526129,4,0,0.000353677651315323,7.5,0,3.5,0,0,8,6.5,0,0.00649612012619981,0.0795774715459477,0.00141471060526129,0,0.00649612012619981,8,1,3.5,0,0.00141471060526129,0,0,0,0,0,0.0127323954473516,7.5,3,0.0353677651315323,5,0,0,0,0,65.9635775680281
"24","Cirsium",0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0.000509295817894065,0,0,0,0,0,0.0164707682217546
"25","Crepis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9.51273239544735
"26","Crust",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"27","Cryptogramma",0,0,0.0795774715459477,0.00221048532072077,0,0,0,0.000795774715459477,0,0,0.5,0,0,0.00318309886183791,0,0,0,0,0,0,5,0.0127323954473516,0.00318309886183791,3,0,0,0,0.000982437920320342,0,0.318309886183791,0,0.000795774715459477,3,0,0,0,0,0,0,0.5,12.4217704235727
"28","Dasiphora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"29","Diaphasiastrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308,0,0,0.000353677651315323,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0,0,0,0,0,0,0,0.0100773637712726
"30","Dryas",0,0.00043663907569793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0.000945934893591995
"31","Dryopteris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209276716754629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209276716754629
"32","Elymus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00497359197162173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00497359197162
"33","Empetrum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,1.07957747154595
"34","Epilobium",0,0,0,0,0,0,0,0,0.000509295817894065,0,3,0,0.0127323954473516,2,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0.000982437920320342,1,0,0.00497359197162173,0,0,0,0,0,17.0191977211572
"35","Equisetum",0,0,0,0,0.00110141829129339,0,0,0,0,0,0,8,0,0,3.5,0,8,0,0,0,0,0,0,0,0,2,0.00263066021639496,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,21.516464473955
"36","Erigeron",0,0,5,0.0127323954473516,0.000601720011689585,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0198943678864869,0,0.000795774715459477,0.000353677651315323,0,0,0,0.000982437920320342,1,0,0.000881744837074213,0,0,3,0,0.00392975168128137,3.5,0,0,0,0,0,13.040171870151
"37","Erythranthe",0.00318309886183791,0,0,0,0,0,0,0,0,0,8.14147106052613,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,1,0,0,0,0,0,0,0,0,0.141471060526129,0,0.00141471060526129,0,0,0,0,0,9.28895464112462
"38","Erythronium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0,0,0.00221048532072077
"39","Fern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923098669932993
"40","Festuca",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.00636619772367582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00636619772368
"41","Fragaria",0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188349045079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506658931262957
"42","FUNGI",0,0,0,8,4,0,0,0,0,0,0.5,0,5.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.5
"43","Gaultheria",0,0,0.000509295817894065,0,0.00110141829129339,0.0795774715459477,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0.0353677651315323,0,0.000353677651315323,0,0,0,0,0.0353677651315323,0,0,0,0.00318309886183791,0.0353677651315323,0,0,0,0,0,0,0,0,0,0.192242968168147
"44","Heuchera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129
"45","Hieracium",0,0,1.13661977236758,0.00497359197162173,0,0,0,0,0,0,0,0,0,0.0127323954473516,0.00110141829129339,0,0,0,0,0,0,0.000509295817894065,0.000310849498226358,0,0,0,0,0,0,0,0,0,0.00124339799290543,0,0,0,0,0.000881744837074213,3,0,4.15837246622395
"46","Huperzia",0,0,0,0,0.00110141829129339,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,1.52187753101485
"47","Juncus",0.318309886183791,0,0.00649612012619981,0.00649612012619981,0,0,0,0.000795774715459477,0.5,0,8.5,0.00141471060526129,0.519894367886487,4.5,2.5,5,1.03536776513153,0,0,0,0,2,0,0,0.00318309886183791,0,0,0.0481001605788839,0,2.00221048532072,3.5,7.5,5.5,0,0.0353677651315323,0.321492985045629,0,0.00392975168128137,0.0795774715459477,2,45.8826364629408
"48","Juniperus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Kalmia",0,0,0,0,0.000795774715459477,0,0,0,0.000259844805047992,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0010556195205
"50","Leptarrhena",0,0,0,0,0.00110141829129339,0,0,0,0,0,5.5,0,5.5,0.0198943678864869,0,0,0,0.00110141829129339,0,0,0.000353677651315323,3.5,0.000795774715459477,0.5,0.00318309886183791,0,0.00318309886183791,0,0.00263066021639496,0,0,8,1.5,0,3,0,0,0,0,0.0795774715459477,27.6118209863219
"51","Lesquerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"52","Lichen",0,0,0,0,0,0,4.5,0.0127323954473516,2.5,8,0.5,0,2,0,0,0,0,8,6.5,5.5,8,4,0,0,0,0,0,6.5,8,7.5,2.5,0,2.5,1,0,0,0,0,4,0,81.5127323954474
"53","Luetkea",0,0.0353677651315323,0,0.00240688004675834,0,0,0,4,0,0,0.00497359197162173,0,0,0,0,0.00141471060526129,0,8,7,2,0,0,0,0.0509295817894065,2,0,0,0,0,0,0,0,2,0.00318309886183791,0,0,0,0,7,2,34.0982756284064
"54","Lupinus",0,0,7.5,6,7.5,0.0127323954473516,3.5,9.5,1,0.0127323954473516,0,0.000353677651315323,0,0,0.000601720011689585,7,0.00497359197162173,3.5,4,1,0.00318309886183791,2,6,0,0,0.000795774715459477,6.5,7,0.141471060526129,0.0353677651315323,8,0,0,0.00497359197162173,6.5,0,7.5,0.0127323954473516,2.5,4.5,101.229917467183
"55","Luzula",0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,1,0,0,0,0,0,0,0.000310849498226358,0,0,0,0,0,0.0198943678864869,0,0,0,0.00318309886183791,0,0,0,0,0.000982437920320342,0,0,3.02437075416687
"56","Marchantia",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,13.5
"57","Micranthes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649612012619981,0.0795774715459477,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,2.5,0,0,0,0,0.00110141829129339,0,0,2.58938549528416
"58","Mimulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0.00271978113861483
"59","Minuartia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509295817894065,0,0,0,0,2.55742570191561
"60","Moss",4.5,0,0,0,0,8,6,5.5,7.5,8,8,8,6.5,5.5,6.5,8,7.5,0,0,0,8,8,0,0,0,8,3,7,8,7.5,8,8,7.5,2.5,7.5,0.0127323954473516,0,0,0,0,172.512732395447
"61","Orthilia",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0.00141471060526129,0,0,0,0,0,0,0,0,0,0.00649612012619981,0.543278595862993
"62","Oxyria",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0,0,0,0.00497359197162173,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0,0,0.0849047411688848
"63","Packera",0,0,0.00263066021639496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496
"64","Parnassia",0,0,0,0,0,0,0,0,0,0,2,0,0.0795774715459477,0,0,0,0,0,0,0,0,5,0.00263066021639496,0,0,0,0,0,0,0,0,3.5,2.5,0,2,0,0,0,0,0.0795774715459477,15.1617856033083
"65","Pedicularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0442097064144154,0,0,0,0,0,0,0,0,0,0,1.04420970641442
"66","Penstemon",0,0.0353677651315323,2.50884194128288,0,0.00884194128288308,0.00318309886183791,1.5,0.00334028892908917,0,0,1,0,0,0,0,0.000795774715459477,0,0,0,0.00221048532072077,0.000795774715459477,0,3.50392975168128,0.0198943678864869,0.000127323954473516,0,0,0.0127323954473516,0.00141471060526129,1.5,6,0,0.5,0,0,0,0,0,1.5,3.5,21.6014756198147
"67","Petasites",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0127323954473516,0,0,0,0,0,0,0.000353677651315323,8,0,0.000982437920320342,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16.514068511019
"68","Phacelia",0,4.5,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,5.03757825045225
"69","Phleum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0.00318309886183791
"70","Phlox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"71","Phyllodoce",0,0.0353677651315323,0.0153380614090829,8,2.5,0.000795774715459477,0.0135281701628111,0.0127323954473516,0.000509295817894065,4,0,6,6,0,0,12,1,3,1.5,6,0.00318309886183791,0.0127323954473516,0,3.5,3.00884194128288,8,8,1,8.00392975168128,0.0215743367302347,2.01273239544735,0,0.0209957861777803,0,6,0,9,8.5,2,3.5,112.662261168313
"72","Picea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Pinguicula",0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,8.00870660544692
"74","Pinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0.000209276716754629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201036446032415
"75","Platanthera",0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0.0198943678864869,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00318309886183791,0,0,0,0,8,0,0,2,0,0,0,0,0,13.0584452318799
"76","Poa",0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5,0,0,0,0,0,0,0,9
"77","Polystichium",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477
"78","Polystichum",0,0,0,0,0,0,0,0,0,0,0.00884194128288308,0,0,0,0,0,0,0,0.00124339799290543,0,0.0795774715459477,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.602395206269088
"79","Populus",0,0.00141471060526129,0,0.000657665054098741,0.00103937922019197,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0.0127323954473516,0,0.00263066021639496,0.0353677651315323,0,0,0,0,0,0,0.0795774715459477,0,0.0127323954473516,0.147457513201484
"80","Potentilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,1.5,0,1.50791083073146
"81","Pyrola",0,0,0.0127323954473516,0,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51273239544735
"82","Ranunculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496
"83","Rhododendron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.00884194128288308,0,0,0,0,0,0.00141471060526129,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,1.51418640356943
"84","Ribes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,2,0,0,0,0,0,0,2.04810016057888
"85","Salix",0,0.0192285155735514,0.0198452459904709,6,15,0.0254647908947032,11.500259844805,11,0.0254647908947032,8,4.5,8,7.00072179112513,0.0127323954473516,6.5,1.00079577471546,6.00098243792032,0.5,0,0.000795774715459477,0.00353677651315323,1.5,0.0795774715459477,0.00636619772367582,0,0,8,2.50221048532072,4,0.581201501577498,5.5,3,0.5,0,8,0.0509295817894065,2.5,2.50318309886184,0.00318309886183791,1.5,125.336479574276
"86","Saxifraga",0,4.5,0.000509295817894065,0.000657665054098741,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.000353677651315323,0,0.000509295817894065,0.00110141829129339,0,0,0.318309886183791,0,5,0,0,0.00318309886183791,0,0,0,0,0,0,1.5,16.3260390482834
"87","Sedum",0,0.0127323954473516,0.00649612012619981,0,0,3,0,0.000157190067251255,0,0,0.00318309886183791,0,0,3,0,0,0,1.5,0,0,2,0.000509295817894065,6,0.5,0,0,0,0,0,3,1.5,0.000795774715459477,0.000310849498226358,0,0,0,0,0,0,0.0353677651315323,20.5595524896658
"88","Senecio",0.00263066021639496,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,2.04118152420977
"89","Sibbaldia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
"90","Silene",0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0.00392975168128137,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0,0.0066495328198962
"91","Solidago",0,0,0.0198943678864869,0,0,0,0,0,0,0,0.141471060526129,0,0,0.00141471060526129,0,0,0,0,0,0,0.00141471060526129,0.5,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0.000982437920320342,0,0,0,0,0,0.0127323954473516,0.681092781852648
"92","Sorbus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0.00497359197162173,0,0,0,0,0,0,0.00576936668708121
"93","Stellaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310849498226358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310849498226358
"94","Symphyotrichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0.00884194128288308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4.04420970641442
"95","Triantha",0,0,0.000509295817894065,0,0,0,0,0,0.000519689610095984,12,0,8,2.5,0,0,0,7.5,0,0,0,0,1.5,0,0,0,0.00188349045079166,0.0198943678864869,0,0,0,0.0353677651315323,3,0,0,0.00884194128288308,0,0,0,0,0,34.5670165501797
"96","Tsuga",0,0,0,0.00649612012619981,0.0795774715459477,0.000795774715459477,0.0127323954473516,0.5,0,0,0,0,1.5,0,0,0.0795774715459477,0,0.5,5,2,0.00318309886183791,0.000509295817894065,0.00141471060526129,0.5,0,0.000881744837074213,0.00649612012619981,0.00884194128288308,1,3,0.0127323954473516,0.0353677651315323,0.00124339799290543,0,0,0,0.00221048532072077,0.000982437920320342,0,0,14.2530426267249
"97","Unknown",0,4.5,3.00050929581789,0,0,0,0.0127323954473516,1,9,0,0,0,0,0.0481001605788839,0.00318309886183791,0,0,0.0127323954473516,3.00282942121052,0.0772316503892644,0.00141471060526129,4.00079577471546,2.5,NA,6,0,0.00318309886183791,0.555262133018019,0.0822081317623427,0,0.080992182151209,0,0,0,0,0,0,0,1,0,NA
"98","Vaccinium",0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0.0795774715459477,1.50282942121052,0.0353677651315323,0.000353677651315323,0,0,0.000657665054098741,0,0,0,0,0.583507223227229,0.00497359197162173,0.00649612012619981,0,0,0,0,0,0.00141471060526129,0,0,0,2.23586778912567
"99","Valeriana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000259844805047992,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0.00392975168128137,0,0,0,0,5.5,0.5,7.0050713413234
"100","Veronica",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.0127323954473516,0,0,4,1,3,0,0,0,0,0,0,0,3.5,5.5,0,1,0,0,0,0,0,26.0127323954474
