Waypoint_ID,Field_label ,Genus,Species,Herbarium_potential,Notes,Other_potential_names_1,Other_potential_names_2,
CE01,Carex_aqu,Carex ,spectabilis,,,,,*use eflora to check the map of plant cover
CE01,Poa,Poa,cusickii,,,,,
CE01,Arctagrostis ,Vahlodea,atropurpurea,,,,,
CE01,Carex nar,Carex,spp.,,,,,
CN1,Poaceae_spp1,Trisetum,spicatum,yes,,,,
WP43,Poa_spp1,Trisetum ,spicatum ,,,,,
WP43,Festuca_sp1,Vahlodea,astropurpurea,,unclear which is spp1 and spp2,,,
WP43,Festuca_sp2,Poa,glauca,,unclear which is spp1 and spp2,,,
WP43,Carex,Carex,phaeocephala,,,,,
WP69,Poa_tall,Vahlodea,atropurpurea,yes,,,,
WP69,Carex_aquatilis,Carex,spectabilis,yes,,,,
CE05,Gramminoid_species_4,Juncus,mertensiana,,,,,
CE02,Gramminoid_sp_9,Carex,spectabilis,,,,,
CE05,Flowering_plant_1,Veronica,wormskjold,yes,,,,
CE05,Gramminoid_sp_7,Luzula,parviflora,,All Luzula piperi should be renamed L. Parviflora ,,,
CE03,Fern_species_1,,,,no id present ,,,
CE05,Aster_sp_4,,,,no id present ,,,
WP27,Carex_spp_1,Carex,phaeocephala,,,,,
WP57,Salex_sp,Salix,sitchensis,,,,,
WP73,Carex_sp_3,Carex,,yes,could be spectabilis or podocarpa  ,spectabilis,podocarpa,
WP40,Tall_poa_2,Poa,cusickii,,"""probably Poa cusickii""",,,
WP69,Carex_1,Carex,pyrenaica,,,,,
WP69,Fern,,,,either dryopteris or athyrium,,,
WP4,Juncus_triglumis ,Juncus,triglumis,yes,not within normal range on inaturalist,,,
WP37,Grass_1,Agrostis,mertensii,,could also be humilis or variable,humilis ,variable,
WP4,Carex_aurea,Carex,aurea,,,,,
WP58,Graminoid_sp_3,Poa,glauca,,"says ""cf"" between the poa and glauca, means ""confer"", which is probably belongs",,,
WP58,Juncus_sp_2,Juncus,parryi,,,,,
WP4,Carex_wet,Carex,spectabilis,,"says ""cf"", means ""confer""",,,
WP59,Carex_aurea,Carex,phaeocephala,,,,,
WP4,Juncus_mertensianus,Juncus,mertensianus,yes,,,,
WP27,Juncus_sp_2,Juncus,parryi,yes,,,,
WP55,Juncus_sp_1,Juncus,mertensianus,,,,,
WP29,Graminoid_sp_2,Poa,glauca,yes,,,,
WP59,Poa,,,,"""Agrostis?""",Agrostis,,
WP27,Poa_sp_1,Trisetum ,spicatum ,yes,,,,
WP27,Carex_sp_2,,,yes,"""Juncus?""",Juncus,,
WP55,Carex_sp_1,Carex,phaeocephala,,,,,
WP7 ,Hairy_poa,Luzula,parviflora,yes,,,,
WP7,Carex_sp_3,Carex,illota,yes,"""?"" present on id ",,,
WP56,Poa_3,Poa ,alpina,yes,,,,
WP56,Phleun_alpinum,Phleum,alpinum,,,,,
WP56,Triantha_glutinosa,Triantha,glutinosa,yes,,,,
WP56,Poa_sp_4,Trisetum ,spicatum ,,,,,
WP42,Hieracium_triste,Hieracium,triste,,,,,
WP42,Erigeron_glacialis ,Arnica,cordifolia,,,,,
WP59,Arnica_latifolia,Arnica,latifolia,,,,,
WP58,Graminoid_4,Trisetum ,spicatum ,,Can't tell which is graminoid 4 and 5,,,
WP58,Graminoid_5,Carex,,,No species name. Can't tell which is graminoid 4 and 5,,,
WP56,Hairy_aster,Agoseris,,yes,No species name,,,
WP58,Carex_sp_2,Carex,phaeocephala,,,,,
WP31,Carex_ssp_5,Carex,sitchensis,yes,"""Probably Carex sitchensis""",,,
WP15/CE03,Fern,Polypodium,amorphum,,,,,
CE5,Gramminoid_ssp_8,Carex,nigricans ,,"""Probably Carex nigricans""",,,
CE05,Gramminoid_ssp_3,Juncus,dummondii,,,,,
WP31,Carex_ssp_5,Poa ,alpina,,,,,
WP15/CE03,Juncus_ssp_7,Juncus,mertensianus,yes,,,,
WP31,Gramminoid_ssp_11,Poa ,glauca,,,,,
WP59,Anthenaria_alpina,Antennaria,alpina,,,,,
CE5,Gramminoid_sp_7,Luzula,parviflora,,All Luluza piperi should be renamed L. parviflora,,,
CE05,Flowering_plant_1,Veronica,wormskjoldii,,,,,
CE02,Gramminoid_sp_9,Carex,spectabilis,yes,,,,
CE05,Gramminoid_species_4,Juncus,mertensianus,,,,,
WP69,Carex_2_Carex_aquatilis,Carex,spectabilis,,,,,
WP69,Poa_tall,Vahlodea,atropurpurea,yes,,,,