"","transect","Abies.lasiocarpa","Antennaria.media","Arnica.latifolia","Pilosella.tristis_Erigeron.glacialis","Bryophyta","Caltha.leptosepala","Carex.nigricans.pyrenaica","Carex.pyrenaica","Carex.spp","Carex.nigricans","Carex.spectabilis","Cassiope.mertensiana","Castilleja.parviflora","Clintonia.uniflora","Diphasiastrum","Epilobium.anagallidifolium","Erigeron.glacialis","Festuca.brachyphylla","Gaultheria.humifusa","Juncus.drummondii","Kalmia.microphylla","Luzula.piperi","Leptarrhena.pyrolifolia","Luetka.pectinata","Lupinus_spp","Penstemon.procerus","Phyllodoce.empetriformis","Phyllodoce.glanduliflora","Pilosella.tristis","Danthonia.intermedia","Vahlodea.atropurpurea.","Poa.alpina.arctica_Agrostis.alpina.humilis","Potentilla.flabellifolia","Pulsatilla.occidentalis","Salix.barclayi","Schoenoplectus.acutus","Kalmia.spp","Sorbus.sitchensis","Tonestus.lyallii","Tsuga.mertensiana","Vaccinium.membranaceum","Vaccinium.ovafolium","Vahlodea.atropurpurea","Valeriana.stichensis","Veronica.wormskjoldii"
"1","BT.10","10"," 0"," 0"," 0","36"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","24"," 0"," 0","40"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","40"," 0"," 5"," 0"
"2","BT.11"," 9"," 0"," 0"," 0","10"," 0"," 7"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 2"," 0"," 4"," 1"," 0","35"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","36"," 0","13"," 0"
"3","BT.12","24"," 0","16"," 0","19"," 0","11"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 1"," 0"," 2","12"," 0","20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","40"," 0","21"," 0"
"4","BT.13","21"," 0","22"," 0"," 0"," 0"," 0"," 0"," 0"," 0","31","12"," 0"," 0"," 0"," 0","10"," 0"," 0"," 2"," 0","13"," 0","40","28"," 0"," 0"," 0","19"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","32"," 0"," 3"," 0"
"5","BT.14","22"," 0","16"," 0"," 8"," 0"," 7"," 0"," 0"," 0"," 9","33"," 0"," 0"," 0"," 0"," 4"," 0"," 4"," 6"," 0"," 3"," 0","38","22"," 0","15"," 0","20"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","38"," 0","10"," 0"
"6","BT.15"," 4"," 0"," 1"," 0","17"," 0"," 2"," 0"," 0"," 0"," 0","14"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0","28"," 0"," 0"," 0","15"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"7","BT.16","26"," 0"," 0"," 0","29"," 0"," 2"," 0"," 1"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 2"," 0","35"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"," 0"," 0"," 0"
"8","BT.9"," 3"," 0"," 1"," 0","13"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0","40"," 1"," 0","20"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","40"," 0"," 0"," 0"
"9","PR.17"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","24"," 3"," 7"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 4"," 0"," 7"," 0","33"," 0"," 0"," 1"," 0","14"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"10","PR.18","27"," 0"," 0"," 0","40","12"," 0"," 0"," 0"," 0","38","40"," 7"," 0"," 5"," 6"," 0"," 0"," 5"," 0"," 0"," 5"," 0","40"," 0"," 0","32"," 0","35"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 5"," 0"
"11","PR.19"," 1","13"," 0"," 0"," 4"," 0","40"," 0"," 0"," 0"," 8","26"," 0"," 0"," 0"," 0","10"," 0"," 0","36","10"," 0"," 0","40"," 0"," 0"," 6"," 0","25"," 0","22"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"," 0"," 0"
"12","PR.20"," 7"," 0"," 0"," 0","39"," 0"," 0"," 0","21"," 0"," 0","40"," 0"," 0","20"," 1","31"," 0"," 0","11","29"," 9"," 0","40"," 0"," 2","26"," 0","18"," 0","28"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","36"," 0"," 0"," 0"
"13","PR.21"," 0"," 0"," 0"," 0"," 2"," 0"," 0","29"," 0"," 0","18","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0","34"," 0"," 0","14"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2","32"," 0"," 0"," 0"
"14","PR.22","38"," 0"," 0"," 0","40"," 0"," 0"," 0","33"," 0"," 0","39"," 0"," 0"," 0"," 8","20"," 0"," 0"," 9"," 1"," 3"," 0","40"," 0"," 0","14"," 0","20"," 0","35"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","29"," 0"," 0"," 0"
"15","PR.23"," 3"," 0"," 0"," 0"," 0"," 0","14"," 0"," 0"," 0"," 0","27"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","40"," 0"," 0"," 3"," 0","10"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"
"16","PR.24"," 0"," 0"," 0"," 0","21"," 0"," 0"," 0"," 2"," 0"," 0","40"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","40"," 0"," 0"," 5"," 0","26"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 3"," 0"," 0"," 0"
"17","TM.1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","20"," 0"," 0","16"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 0"," 0","21"," 0"," 0"," 0"
"18","TM.2"," 4"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0","40"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","40"," 0"," 0","25"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","40"," 0"," 0"," 0"
"19","TM.25"," 9"," 0"," 0","12","15"," 0"," 0"," 0","14"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0","31"," 0"," 0","25"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0","20"," 0"," 0"," 0"
"20","TM.26","31"," 0"," 0","40","38"," 0"," 0"," 0","18"," 0"," 0","37"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 4"," 0"," 0"," 0","40"," 0"," 0","40"," 0"," 0"," 0"," 0","40"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","27"," 0"," 0"," 0"
"21","TM.27"," 4"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 1"," 0"," 0","28"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","36"," 1"," 0","34"," 0"," 3"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0","28"," 0"," 0"," 0"
"22","TM.28","25"," 0"," 0"," 0","35"," 0"," 0"," 0"," 0"," 0"," 0","40"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","34"," 3"," 0","40"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0","40"," 0"," 0"," 0"
"23","TM.3"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0","25"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0","30"," 0"," 0","17"," 0"," 6","20"," 0","10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","15"," 5"," 0"," 0"
"24","TM.4"," 8"," 0"," 0"," 0","31"," 3"," 0"," 0"," 9"," 0"," 0","21"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0","26"," 0"," 0","39"," 0"," 0","38"," 0","18"," 0"," 0","25"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0","37"," 0"," 0"," 0"
"25","TM.5"," 2"," 0"," 0"," 0","17"," 2"," 6"," 0"," 0"," 0"," 2","39"," 0"," 0","11"," 0","11","27"," 0"," 0","28"," 0"," 0","40"," 0"," 0","40"," 0","19"," 0"," 0","16"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0","38"," 0"," 0"," 0"
"26","TM.6"," 8"," 0"," 1"," 0","38","29"," 0"," 0","12"," 0"," 0","20"," 6"," 2"," 0"," 0","31"," 0"," 0"," 0","14"," 0"," 9","28"," 0"," 0","34"," 0","14"," 0","28","31","28"," 0","22"," 0"," 0"," 0"," 0"," 1"," 0","33"," 0"," 0","19"
"27","TM.7"," 3"," 0"," 0"," 0"," 2"," 0"," 2"," 0"," 0"," 0"," 0","37"," 0"," 0","12"," 0"," 3"," 4"," 0"," 0"," 0"," 0"," 0","40"," 6"," 0","40"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0","36"," 0"," 0"," 0"
"28","TM.8","11"," 0"," 0"," 0","34"," 0"," 0"," 0"," 0"," 0"," 0","37"," 0"," 0"," 8"," 0"," 5"," 0"," 0"," 0"," 0"," 2"," 0","37"," 0"," 0","40"," 0"," 3"," 0","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0","40"," 0"," 0"," 0"
