transect,BT-10,BT-11,BT-12,BT-13,BT-14,BT-15,BT-16,BT-9,PR-17,PR-18,PR-19,PR-20,PR-21,PR-22,PR-23,PR-24,TM-1,TM-2,TM-25,TM-26,TM-27,TM-28,TM-3,TM-4,TM-5,TM-6,TM-7,TM-8
Abies.lasiocarpa,10,9,24,21,22,4,26,3,9,27,1,7,0,38,3,0,0,4,9,31,4,25,4,8,2,8,3,11
Antennaria.media,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnica.latifolia,0,0,16,22,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pilosella.tristis_Erigeron.glacialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,40,0,0,0,0,0,0,0,0
Bryophyta,36,10,19,0,8,17,29,13,0,40,4,39,2,40,0,21,0,0,15,38,7,35,0,31,17,38,2,34
Caltha.leptosepala,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,29,0,0
Carex.nigricans.pyrenaica,0,7,11,0,7,2,2,0,0,0,40,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,2,0
Carex.pyrenaica,0,0,0,0,0,0,0,13,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex.spp,0,0,0,0,0,0,1,0,0,0,0,21,0,33,0,2,1,0,14,18,1,0,25,9,0,12,0,0
Carex.nigricans,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex.spectabilis,0,2,9,31,9,0,0,0,3,38,8,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cassiope.mertensiana,0,0,0,12,33,14,8,0,7,40,26,40,11,39,27,40,3,40,2,37,28,40,2,21,39,20,37,37
Castilleja.parviflora,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Clintonia.uniflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Diphasiastrum,0,0,0,0,0,0,0,0,1,5,0,20,0,0,1,0,0,0,0,0,0,0,0,0,11,0,12,8
Epilobium.anagallidifolium,0,0,0,0,0,0,0,0,0,6,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erigeron.glacialis,0,1,8,10,4,0,0,6,0,0,10,31,0,20,0,0,0,0,0,2,0,0,4,8,11,31,3,5
Festuca.brachyphylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,4,0
Gaultheria.humifusa,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncus.drummondii,0,0,0,2,6,0,0,0,4,0,36,11,0,9,0,0,0,0,8,4,0,0,0,0,0,0,0,0
Kalmia.microphylla,0,0,0,0,0,0,0,0,0,0,10,29,0,1,0,0,0,1,0,0,1,0,0,26,28,14,0,0
Luzula.piperi,0,2,1,13,3,3,0,0,7,5,0,9,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2
Leptarrhena.pyrolifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Luetka.pectinata,24,4,2,40,38,28,9,40,33,40,40,40,34,40,40,40,20,40,31,40,36,34,30,39,40,28,40,37
Lupinus_spp,0,1,12,28,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,0
Penstemon.procerus,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllodoce.empetriformis,40,35,20,0,15,0,0,20,1,32,6,26,14,14,3,5,16,25,25,40,34,40,17,38,40,34,40,40
Phyllodoce.glanduliflora,0,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilosella.tristis,0,0,0,19,20,0,0,0,14,35,25,18,0,20,10,26,0,0,0,0,3,3,6,18,19,14,6,3
Danthonia.intermedia,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Vahlodea.atropurpurea ,0,0,0,0,2,0,0,0,0,0,22,28,0,35,0,0,0,0,0,0,2,0,0,0,0,28,0,11
Poa.alpina.arctica_Agrostis.alpina.humilis,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,3,40,0,0,10,25,16,31,0,0
Potentilla.flabellifolia,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,28,0,0
Pulsatilla.occidentalis,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salix.barclayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
Schoenoplectus.acutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kalmia.spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Sorbus.sitchensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tonestus.lyallii,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsuga.mertensiana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,4,6,6,0,0,2,1,2,9
Vaccinium.membranaceum,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium.ovafolium,40,36,40,32,38,0,0,40,0,0,17,36,32,29,2,3,21,40,20,27,28,40,15,37,38,33,36,40
Vahlodea.atropurpurea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Valeriana.stichensis,5,13,21,3,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica.wormskjoldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0